날짜,제목,링크,분류,첨부파일
2021年7月29日,イラク前政権の機関等に対する資産凍結等の措置の対象者の削除について（PDF形式：113KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20210729_iraqhoudou.pdf,経済制裁,
2021年7月28日,「新型コロナウィルス感染症の影響に伴う申請手続等に係る特例措置について」の一部改正について（PDF形式：136KB）,/policy/external_economy/trade_control/boekikanri/download/import/2021/20210728_fiji_maguro.pdf,輸出入,
2021年7月1日,「輸出貿易管理令第四条第二項の規定に基づく経済産業大臣が告示で定める貨物」の一部改正について（PDF形式：427KB）,/policy/external_economy/trade_control/boekikanri/download/export/2021/20210701_pops_kokuji.pdf,輸出入,
2021年6月29日,「（お知らせ）絶滅のおそれのある野生動植物の種の国際取引に関する条約第7条第3項及び同条約決議16.8に基づく楽器証明書の申請手続等について」の制定について（PDF形式：799KB）,/policy/external_economy/trade_control/boekikanri/download/export/2021/20210629_oshirase_gakkisyoumeisyo.pdf,輸出入,
2021年6月18日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：264KB）,boekikanri/download/seisai/talibaan/20210618_talibanhoudou.pdf ,経済制裁,
2021年6月7日,「輸出貿易管理令又は輸入貿易管理令に係る条約等の締約国等について」の一部改正について（PDF形式：120KB）,boekikanri/download/import/2021/20210607_003_ei.pdf,輸出入,
2021年5月27日,中央アフリカ共和国における平和等を損なう行為等に関与した者等に対する資産凍結等の措置の対象者の削除について（PDF形式：129KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/other/20210527_centralafricahoudou.pdf ,経済制裁,
2021年5月13日,イラク前政権の機関等に対する資産凍結等の措置の対象者の削除について（PDF形式：130KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20210513_iraqhoudou.pdf ,経済制裁,
2021年4月7日,「輸出貿易管理令」等の一部改正について（PDF形式：80KB）,/policy/external_economy/trade_control/boekikanri/download/seisai/kitachosen/20210407_yushutsureitou.pdf ,経済制裁,
2021年4月6日,外国為替及び外国貿易法に基づく北朝鮮輸出入禁止措置を延長しました（PDF形式：276KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadNK/20210406_press_nk.pdf ,経済制裁,
2021年3月24日,「輸入貿易管理規則第2条第1項第1号ハの規定に基づく経済産業大臣が告示で定める貨物」の廃止等について（PDF形式：563KB）,boekikanri/download/import/2021/20210324_002_ei.pdf,輸出入,
2021年2月25日,「輸出貿易管理令又は輸入貿易管理令に係る条約等の締約国等について」の一部改正について（PDF形式：121KB）,/policy/external_economy/trade_control/boekikanri/download/export/2020/20210225_teiyakukoku.pdf,輸出入,
2021年2月22日,タリバーン関係者等に対する資産凍結等の措置の対象者の削除について（PDF形式：166KB）,boekikanri/download/seisai/talibaan/20210222_talibanhoudou.pdf ,経済制裁,
2021年2月18日,「輸出貿易管理令又は輸入貿易管理令に係る条約等の締約国等について」等の一部改正について（PDF形式：185KB）,/policy/external_economy/trade_control/20210218_teiyakukokunaccs.pdf,輸出入,
2021年2月10日,イラク前政権の機関等に対する資産凍結等の措置の対象者の削除について（PDF形式：157KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20210210_iraqhoudou.pdf ,経済制裁,
2021年1月28日,「輸入公表三の７に基づく貨物（種の保存法に係る国内希少野生動植物種）の輸入に関する確認について」等 の一部改正について（PDF形式：490KB）,/policy/external_economy/trade_control/boekikanri/download/export/2020/20210128_citeshoka.pdf,輸出入,
2021年1月27日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」等 の一部改正について（PDF形式：542KB）,/policy/external_economy/trade_control/boekikanri/download/export/2020/20210127_teiyakukokukaisei.pdf,輸出入,
2021年1月25日,「うなぎの稚魚の輸出承認について」の一部改正について（PDF形式：142KB）,boekikanri/download/export/2020/20210125_tsutatsu_unagi.pdf,輸出,
2021年1月15日,「電子情報処理組織を使用して行う特定手続等の運用について」等の一部改正について（PDF形式：689KB）,/policy/external_economy/trade_control/boekikanri/download/export/2020/20210115_naccskaisei.pdf,輸出入,
2020年12月28日,（お知らせ）外為法に基づく輸出入手続等の押印廃止について（PDF形式：73KB）,/policy/external_economy/trade_control/boekikanri/download/export/2020/20201228_ouinoshirase.pdf,輸出入,
2020年12月23日,輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：78KB）,/policy/external_economy/trade_control/boekikanri/download/import/2020/20201223_007_im.pdf,輸出入,
2020年12月10日,イラク前政権の機関等に対する資産凍結等の措置の対象者の削除について（PDF形式：145KB）,/policy/external_economy/trade_control/01_seido/04_seisai/downloadiraq/20201210_iraqhoudou.pdf ,経済制裁,
2020年12月3日,（お知らせ）年末年始の閉庁に伴う申請受付について（PDF形式：160KB）,boekikanri/download/misc/2020/20201203_zz.pdf,その他,
2020年11月17日,「新型コロナウイルス感染症の影響に伴う申請手続等に係る特例措置について」の一部改正について（PDF形式：164KB）,boekikanri/download/export/2020/20201117_ouin-kaisei.pdf,輸出入,
2020年10月27日,イランの核問題に関する国際連合安全保障理事会決議第２２３１号に基づく措置の一部解除について（PDF形式：145KB）,01_seido/04_seisai/downloadIran/20201027_iran_houdou.pdf,経済制裁,
2020年10月12日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：226KB）,boekikanri/download/seisai/talibaan/20201012_talibanhoudou.pdf ,経済制裁,
2020年10月1日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：74KB）,boekikanri/download/import/2020/20201001_006_im.pdf,輸出入,
2020年9月24日,中央アフリカ共和国における平和等を損なう行為等に関与した者等に対する資産凍結等の措置の対象者の追加について（PDF形式：229KB）,boekikanri/download/seisai/other/20200924_centralafricahoudou.pdf ,経済制裁,
2020年8月25日,「水銀に関する水俣条約の締約国等について」等の一部改正について（PDF形式：133KB）,boekikanri/download/export/2020/20200825-minamata.pdf,輸出,
2020年8月13日,「新型コロナウイルス感染症の影響に伴う申請手続等に係る特例措置について」の一部改正について（PDF形式：103KB）,boekikanri/download/export/2020/20200813_ouin-kaisei.pdf,輸出入,
2020年7月31日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：76KB）,boekikanri/download/import/2020/20200731_005_im.pdf,輸入,
2020年7月20日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：200KB）,boekikanri/download/seisai/talibaan/200720_talibanhoudou.pdf ,経済制裁,
2020年7月9日,「電子情報処理組織を使用して行う特定手続等の運用について」等の一部改正について（PDF形式：119KB）,boekikanri/download/export/2020/20200709_naccs_shikoku.pdf,輸出入,
2020年7月2日,「新型コロナウイルス感染症の影響に伴う申請手続等に係る特例措置について」の一部改正について（PDF形式：94KB）,boekikanri/download/export/2020/covid19.pdf,輸出入,
2020年7月1日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」の一部改正について（PDF形式：101KB）,boekikanri/download/import/2020/20200701_004_im.pdf,輸入,
2020年6月29日,リビアのカダフィ革命指導者及びその関係者並びに中央アフリカ共和国における平和等を損なう行為等に関与した者等に対する資産凍結等の措置の対象者の追加について（PDF形式：352KB）,boekikanri/download/seisai/libya/2020629_libyatouhoudou.pdf ,経済制裁,
2020年6月22日,「新型コロナウイルス感染症の影響に伴う申請手続等に係る特例措置について」の一部改正について（PDF形式：177KB）,boekikanri/download/export/2020/20200622_ouin-kaisei.pdf,輸出入,
2020年6月19日,「特定手続等に係る申請者の届出について」等の一部改正について（PDF形式：342KB）,boekikanri/download/export/2020/20200619_tsutatsu-naccs.pdf,輸出入,
2020年6月1日,「輸入割当てを受けるべき貨物の品目、輸入の承認を受けるべき貨物の原産地又は船積地域その他貨物の輸入について必要な事項の公表」等の一部改正について （PDF形式：210KB）,boekikanri/download/export/2020/20200601_citeshoka.pdf,輸出入,
2020年5月25日,タリバーン関係者等に対する資産凍結等の措置の対象者の追加について（PDF形式：227KB）,boekikanri/download/seisai/talibaan/20200525_talibanhoudou.pdf ,経済制裁,
